Designator,Value,Description,Qty,Notes
U1,TL074,Quad JFET Op-Amp DIP-14,1,OA1-OA4 (buffers + hidden summers)
U2,TL072,Dual JFET Op-Amp DIP-8,1,OA5 (output summer) + OA6 (comparator)
R1-R4,10kΩ,Resistor 1/4W 5%,4,Input buffer in/feedback
R5-R6,10kΩ,Resistor 1/4W 5%,2,Hidden summer 1 inputs
R7,4.7kΩ,Resistor 1/4W 5%,1,Hidden summer 1 feedback
R8-R9,10kΩ,Resistor 1/4W 5%,2,Hidden summer 2 inputs
R10,4.7kΩ,Resistor 1/4W 5%,1,Hidden summer 2 feedback
R11-R12,10kΩ,Resistor 1/4W 5%,2,Rectifier pull-down resistors
R13-R14,10kΩ,Resistor 1/4W 5%,2,Output summer inputs
R15,4.7kΩ,Resistor 1/4W 5%,1,Output summer feedback
R16,4.7kΩ,Resistor 1/4W 5%,1,LED current limiter
D1-D2,1N4148,Signal Diode,2,Bare diode rectifiers
LED1,Red LED,Standard 5mm Red LED,1,Output indicator
W1-W4,10kΩ,Linear Potentiometer (B10K),4,Weight controls
T,10kΩ,Linear Potentiometer (B10K),1,Threshold control
SW1-SW2,SPDT,Toggle Switch On-On,2,Input selectors
BAT1-BAT2,9V,9V Battery + Snap Connector,2,Wired in series for ±9V
